#Name,Brand,color,Link,wish,review
Nike Air Force 1 '07 Low White,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/12831 ,132000,5306
Jordan 1 Mid Light Smoke Grey,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/23354 ,35000,2112
Nike Dunk Low Retro Black,Nike,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/28029 ,112000,12000
(W) Nike Dunk Low Light Smoke Grey,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/59606 ,34000,406
(W) Nike Air Force 1 '07 Low White,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/13100 ,77000,1112
Jordan 4 Retro Midnight Navy,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/82256 ,1747,72
Nike Air Force 1 '07 WB Flax,Nike,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/21935 ,46000,844
(W) Nike Dunk Low Black,Nike,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/28030 ,62000,4418
Nike x Supreme Air Force 1 Low Flax,Nike,"{'name': 'Rope', 'RGB': (142, 77, 30)}",https://kream.co.kr/products/44653 ,18000,744
Nike Dunk Low Retro Wolf Grey,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/50694 ,63000,877
Nike x Tom Sachs General Purpose Shoe Archive,Nike,"{'name': 'Tiger Orange', 'RGB': (200, 129, 65)}",https://kream.co.kr/products/75302 ,18000,801
New Balance 993 Made in USA Grey - D Standard,New Balance,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/23852 ,28000,1416
(W) New Balance 993 Made in USA Grey - B Standard,New Balance,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/23854 ,19000,432
Jordan 1 Low Stealth and White,Jordan,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/66930 ,23000,235
New Balance 2002R Grey,New Balance,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/25785 ,29000,312
Adidas Samba Vegan White Black,Adidas,"{'name': 'Dawn Pink', 'RGB': (243, 233, 229)}",https://kream.co.kr/products/55267 ,27000,117
Jordan 1 x Travis Scott Retro Low OG SP Sail and Ridgerock,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/67945 ,17000,1389
Maison Mihara Yasuhiro Peterson OG Sole Canvas Low Sneakers Black,Mihara Yasuhiro,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/25707 ,8589,323
Jordan 1 Low Golf Wolf Grey,Jordan,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/48705 ,43000,699
Salomon XT-6 ADV Black,Salomon,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/25673 ,9612,153
Nike Air Force 1 '07 Low Triple Black,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/36 ,37000,665
Adidas Samba Vegan Cycling Black White,Adidas,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/64283 ,15000,63
Nike Air Force 1 '07 LV8 40th Anniversary Join Forces Sail Malachite,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/80149 ,13000,45
Nike Dunk Low Retro SE Jackpot Grey Fog,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/72745 ,21000,153
Jordan 1 Retro High OG Black Mocha,Jordan,"{'name': 'Dawn Pink', 'RGB': (243, 233, 229)}",https://kream.co.kr/products/25922 ,28000,5769
Adidas Samba OG Cloud White,Adidas,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/15251 ,6023,39
(W) Nike Zoom Vomero 5 Cobblestone and Flat Pewter,Nike,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/81175 ,4357,46
Adidas Yeezy Boost 350 V2 Beluga - Reflective,Adidas,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/46666 ,9247,784
New Balance 574 Legacy Black,New Balance,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/65217 ,10000,64
Nike x Sacai Zoom Cortez SP White and University Red,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/73952 ,8783,221
New Balance 574 Legacy Navy,New Balance,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/65216 ,18000,51
Nike x Supreme Air Force 1 Low White,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/23632 ,48000,1717
Nike Dunk Low Retro SE Jackpot Malachite,Nike,"{'name': 'Dark Blue Grey', 'RGB': (31, 59, 77)}",https://kream.co.kr/products/74799 ,24000,338
Jordan 1 Retro Low OG Black and Dark Powder Blue,Jordan,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/70263 ,30000,1783
(W) Jordan 1 Elevate Low SE White and Wolf Grey,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/52006 ,44000,254
(W) Golden Goose Superstar White Silver Heel Tab Sneakers,Golden Goose,"{'name': 'Dawn Pink', 'RGB': (243, 233, 229)}",https://kream.co.kr/products/30245 ,5112,74
New Balance x Malbon 997 Golf White Green,New Balance,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/40211 ,1857,13
Jordan 1 x Travis Scott x Fragment Retro Low OG SP Military Blue,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/38367 ,29000,6591
Adidas Yeezy Boost 350 V2 Slate Core Black,Adidas,"{'name': 'Cascade', 'RGB': (139, 169, 165)}",https://kream.co.kr/products/75687 ,5249,136
(W) Jordan 1 Low White Wolf Grey,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/36237 ,66000,1024
Jordan 1 Low OG Starfish,Jordan,"{'name': 'Dawn Pink', 'RGB': (243, 233, 229)}",https://kream.co.kr/products/39518 ,24000,2405
Nike Air Force 1 '07 LV8 40th Anniversary Join Forces White Black,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/80145 ,5295,28
New Balance 530 White,New Balance,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/23928 ,33000,417
New Balance 990v1 Made in USA Grey White,New Balance,"{'name': 'Almond Frost', 'RGB': (144, 123, 113)}",https://kream.co.kr/products/63212 ,5373,92
(W) Autry Medalist Low Leather Sneakers White,Autry,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/48208 ,14000,117
Nike x Stussy Air Force 1 '07 Mid SP Black and Light Bone,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/60294 ,32000,776
New Balance 530 Steel Grey,New Balance,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/28260 ,37000,650
Jordan 1 Low Golf Chicago,Jordan,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/48708 ,18000,628
Nike Dunk Low Retro PRM Halloween,Nike,"{'name': 'Silver', 'RGB': (197, 201, 199)}",https://kream.co.kr/products/43374 ,41000,1619
(GS) Nike Dunk Low Black,Nike,"{'name': 'Onyx', 'RGB': (15, 15, 15)}",https://kream.co.kr/products/28229 ,31000,1647
(W) Nike Dunk Low Medium Olive,Nike,"{'name': 'Woody Brown', 'RGB': (72, 49, 49)}",https://kream.co.kr/products/74974 ,16000,98
