Name,Brand,Colors,Link,wish,review
Nike Air Force 1 '07 Low White,Nike,"[(218, 222, 224, 96)]",https://kream.co.kr/products/12831 ,132000,5306
Jordan 1 Mid Light Smoke Grey,Jordan,"[(203, 204, 206, 65), (47, 47, 48, 13), (157, 160, 162, 13)]",https://kream.co.kr/products/23354 ,35000,2112
Nike Dunk Low Retro Black,Nike,"[(52, 51, 50, 50), (213, 215, 221, 40)]",https://kream.co.kr/products/28029 ,112000,12000
(W) Nike Dunk Low Light Smoke Grey,Nike,"[(199, 204, 206, 58), (51, 57, 62, 19), (146, 156, 162, 15)]",https://kream.co.kr/products/59606 ,34000,406
(W) Nike Air Force 1 '07 Low White,Nike,"[(223, 226, 227, 96)]",https://kream.co.kr/products/13100 ,77000,1112
Jordan 4 Retro Midnight Navy,Jordan,"[(172, 174, 182, 51), (103, 106, 116, 17), (40, 46, 69, 15), (216, 217, 223, 13)]",https://kream.co.kr/products/82256 ,1747,72
Nike Air Force 1 '07 WB Flax,Nike,"[(162, 126, 87, 93)]",https://kream.co.kr/products/21935 ,46000,844
(W) Nike Dunk Low Black,Nike,"[(52, 51, 50, 50), (213, 215, 221, 40)]",https://kream.co.kr/products/28030 ,62000,4418
Nike x Supreme Air Force 1 Low Flax,Nike,"[(131, 89, 52, 93)]",https://kream.co.kr/products/44653 ,18000,744
Nike Dunk Low Retro Wolf Grey,Nike,"[(209, 212, 216, 71), (158, 161, 169, 14)]",https://kream.co.kr/products/50694 ,63000,877
Nike x Tom Sachs General Purpose Shoe Archive,Nike,"[(204, 156, 46, 42), (205, 179, 122, 27), (208, 202, 188, 10), (38, 32, 28, 8)]",https://kream.co.kr/products/75302 ,18000,801
New Balance 993 Made in USA Grey - D Standard,New Balance,"[(141, 142, 139, 72), (214, 215, 212, 11)]",https://kream.co.kr/products/23852 ,28000,1416
(W) New Balance 993 Made in USA Grey - B Standard,New Balance,"[(146, 148, 145, 69), (225, 225, 222, 13)]",https://kream.co.kr/products/23854 ,19000,432
Jordan 1 Low Stealth and White,Jordan,"[(162, 160, 162, 74), (108, 107, 114, 11), (218, 218, 216, 9)]",https://kream.co.kr/products/66930 ,23000,235
New Balance 2002R Grey,New Balance,"[(130, 130, 124, 70), (188, 184, 171, 13)]",https://kream.co.kr/products/25785 ,29000,312
Adidas Samba Vegan White Black,Adidas,"[(229, 230, 236, 45), (81, 70, 65, 35)]",https://kream.co.kr/products/55267 ,27000,117
Jordan 1 x Travis Scott Retro Low OG SP Sail and Ridgerock,Jordan,"[(208, 201, 183, 64), (74, 66, 57, 18)]",https://kream.co.kr/products/67945 ,17000,1389
Maison Mihara Yasuhiro Peterson OG Sole Canvas Low Sneakers Black,Mihara Yasuhiro,"[(24, 24, 24, 48), (217, 217, 215, 44)]",https://kream.co.kr/products/25707 ,8589,323
Jordan 1 Low Golf Wolf Grey,Jordan,"[(160, 161, 168, 70), (100, 105, 116, 8)]",https://kream.co.kr/products/48705 ,43000,699
Salomon XT-6 ADV Black,Salomon,"[(49, 49, 50, 77), (88, 89, 90, 11)]",https://kream.co.kr/products/25673 ,9612,153
Nike Air Force 1 '07 Low Triple Black,Nike,"[(25, 25, 25, 64), (36, 36, 36, 15), (44, 44, 44, 13)]",https://kream.co.kr/products/36 ,37000,665
Adidas Samba Vegan Cycling Black White,Adidas,"[(70, 64, 61, 72), (209, 209, 213, 15)]",https://kream.co.kr/products/64283 ,15000,63
Nike Air Force 1 '07 LV8 40th Anniversary Join Forces Sail Malachite,Nike,"[(212, 211, 207, 82), (16, 100, 78, 9)]",https://kream.co.kr/products/80149 ,13000,45
Nike Dunk Low Retro SE Jackpot Grey Fog,Nike,"[(177, 178, 181, 66), (224, 225, 229, 13), (46, 47, 49, 9)]",https://kream.co.kr/products/72745 ,21000,153
Jordan 1 Retro High OG Black Mocha,Jordan,"[(237, 236, 234, 43), (51, 48, 45, 39), (104, 87, 75, 11)]",https://kream.co.kr/products/25922 ,28000,5769
Adidas Samba OG Cloud White,Adidas,"[(224, 226, 230, 47), (57, 54, 55, 21), (98, 89, 85, 15), (175, 174, 178, 8)]",https://kream.co.kr/products/15251 ,6023,39
(W) Nike Zoom Vomero 5 Cobblestone and Flat Pewter,Nike,"[(139, 135, 125, 48), (43, 41, 41, 16), (206, 205, 191, 13), (76, 74, 71, 8)]",https://kream.co.kr/products/81175 ,4357,46
Adidas Yeezy Boost 350 V2 Beluga - Reflective,Adidas,"[(114, 109, 103, 72), (228, 51, 18, 14)]",https://kream.co.kr/products/46666 ,9247,784
New Balance 574 Legacy Black,New Balance,"[(15, 17, 18, 43), (184, 181, 163, 33), (109, 106, 102, 9), (56, 54, 56, 9)]",https://kream.co.kr/products/65217 ,10000,64
Nike x Sacai Zoom Cortez SP White and University Red,Nike,"[(192, 185, 181, 65), (40, 65, 127, 14), (173, 21, 33, 8)]",https://kream.co.kr/products/73952 ,8783,221
New Balance 574 Legacy Navy,New Balance,"[(24, 29, 45, 44), (213, 217, 203, 39)]",https://kream.co.kr/products/65216 ,18000,51
Nike x Supreme Air Force 1 Low White,Nike,"[(199, 200, 198, 97)]",https://kream.co.kr/products/23632 ,48000,1717
Nike Dunk Low Retro SE Jackpot Malachite,Nike,"[(47, 89, 68, 43), (184, 179, 165, 34), (142, 141, 127, 10)]",https://kream.co.kr/products/74799 ,24000,338
Jordan 1 Retro Low OG Black and Dark Powder Blue,Jordan,"[(146, 157, 165, 28), (207, 208, 209, 24), (39, 39, 41, 23), (49, 129, 176, 12), (81, 83, 85, 8)]",https://kream.co.kr/products/70263 ,30000,1783
(W) Jordan 1 Elevate Low SE White and Wolf Grey,Jordan,"[(202, 202, 202, 52), (142, 148, 151, 19), (164, 170, 172, 15), (229, 229, 229, 9)]",https://kream.co.kr/products/52006 ,44000,254
(W) Golden Goose Superstar White Silver Heel Tab Sneakers,Golden Goose,"[(237, 235, 237, 62), (185, 177, 174, 12), (207, 199, 197, 8)]",https://kream.co.kr/products/30245 ,5112,74
New Balance x Malbon 997 Golf White Green,New Balance,"[(223, 224, 225, 77), (91, 72, 55, 14)]",https://kream.co.kr/products/40211 ,1857,13
Jordan 1 x Travis Scott x Fragment Retro Low OG SP Military Blue,Jordan,"[(221, 209, 189, 51), (28, 52, 71, 34)]",https://kream.co.kr/products/38367 ,29000,6591
Adidas Yeezy Boost 350 V2 Slate Core Black,Adidas,"[(166, 162, 146, 82), (33, 33, 33, 13)]",https://kream.co.kr/products/75687 ,5249,136
(W) Jordan 1 Low White Wolf Grey,Jordan,"[(216, 221, 223, 52), (151, 160, 164, 39)]",https://kream.co.kr/products/36237 ,66000,1024
